黄浦区,121.28,31.13,180000,0,9,91,42.2,2.21,4.91,0.19,77.1,18.2,1171,no,no
徐汇区,120.26,31.12,201780,0.7,9.8,89.5,42.2,7.3,14.3,0.19,77.1,18.1,1143.1,no,yes
长宁区,121.21,31.12,153100,0.1,6.5,93.4,42.2,2.21,4.91,0.19,77.1,17.9,1143.5,yes,no
静安区,121.3,31.2,154500,0,6.7,93.3,42.2,2.21,4.91,0.19,77.1,17,1187,no,yes
普陀区,121.39,31.25,129670,0,11.65,88.35,42.2,2.21,4.91,0.19,77.1,16.1,1200,no,yes
虹口区,121.45,31.21,124017,1.6,44.5,53.9,42.2,2.21,4.91,0.19,77.1,17.6,1173.4,no,no
杨浦区,121.37,31.14,97812,0.9,22.6,76.5,42.2,7.1,6.1,0.19,77.1,17.2,1060,no,no
浦东新区,121.51,31.4,98200,0.1,9.9,90,42.2,2.21,4.91,0.19,77.1,17.7,1899,yes,no
闵行区,121.25,31.5,112900,0.1,49.1,50.8,42.2,2.21,4.91,0.19,77.1,17.6,1173.4,no,yes
宝山区,121.6,30.59,108290,0.2,42.5,57.3,42.2,2.21,4.91,0.19,77.1,17.6,1173.4,no,no
嘉定区,121.15,31.23,128900,0.2,57.3,42.5,42.2,2.21,4.91,0.19,77.1,15.4,1077.6,no,no
金山区,121.9,30.54,67020,0.3,57.2,42.5,42.2,2.21,4.91,0.19,77.1,17,1156.7,no,no
松江区,121.45,31,58956,0.7,52,47.3,42.2,2.21,4.91,0.19,77.1,15.4,1103.2,no,no
青浦区,121,31.08,83733,0.8,46.3,52.9,42.2,2.21,4.91,0.19,77.1,15.5,1056,no,no
奉贤区,121.3,30.53,54900,1.6,53.9,44.5,42.2,2.21,4.91,0.19,77.1,16.1,1191.5,no,no
崇明区,121.2,31.02,78920,7.3,43.7,49,42.2,2.21,4.91,0.19,77.1,15.2,1025,no,no
